"filename", "language", "PHP", "Markdown", "JavaScript", "SQL", "JSON with Comments", "CSS", "comment", "blank", "total"
"e:\Logiciels\xampp\htdocs\pdv\README.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 1, 3
"e:\Logiciels\xampp\htdocs\pdv\db_win_beer .sql", "SQL", 0, 0, 0, 183, 0, 0, 137, 67, 387
"e:\Logiciels\xampp\htdocs\pdv\index.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 0, 4
"e:\Logiciels\xampp\htdocs\pdv\public\assets\css\accueil.css", "CSS", 0, 0, 0, 0, 0, 146, 2, 30, 178
"e:\Logiciels\xampp\htdocs\pdv\public\assets\css\main.css", "CSS", 0, 0, 0, 0, 0, 1377, 42, 211, 1630
"e:\Logiciels\xampp\htdocs\pdv\public\assets\css\productsMobile.css", "CSS", 0, 0, 0, 0, 0, 24, 0, 7, 31
"e:\Logiciels\xampp\htdocs\pdv\public\assets\css\produits.css", "CSS", 0, 0, 0, 0, 0, 155, 13, 48, 216
"e:\Logiciels\xampp\htdocs\pdv\public\assets\css\variables.css", "CSS", 0, 0, 0, 0, 0, 17, 0, 1, 18
"e:\Logiciels\xampp\htdocs\pdv\public\assets\image\icones\bottlesIcon.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 1, 2
"e:\Logiciels\xampp\htdocs\pdv\public\assets\image\icones\homeIcon.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 1, 2
"e:\Logiciels\xampp\htdocs\pdv\public\assets\image\icones\panierIcon.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 1, 2
"e:\Logiciels\xampp\htdocs\pdv\public\assets\image\icones\searchIcon.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 1, 2
"e:\Logiciels\xampp\htdocs\pdv\public\assets\image\icones\userIcon.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 2, 7
"e:\Logiciels\xampp\htdocs\pdv\public\assets\js\main.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Logiciels\xampp\htdocs\pdv\public\index.php", "PHP", 8, 0, 0, 0, 0, 0, 4, 6, 18
"e:\Logiciels\xampp\htdocs\pdv\src\controller\AccueilController.php", "PHP", 21, 0, 0, 0, 0, 0, 2, 9, 32
